C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\1.png,가
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\2.png,각
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\3.png,간
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\4.png,갇
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\5.png,갈
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\6.png,갉
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\7.png,갊
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\8.png,감
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\9.png,갑
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\10.png,값
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\11.png,갓
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\12.png,갔
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\13.png,강
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\14.png,갖
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\15.png,갗
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\16.png,같
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\17.png,갚
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\18.png,갛
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\19.png,개
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\20.png,객
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\21.png,갠
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\22.png,갤
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\23.png,갬
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\24.png,갭
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\25.png,갯
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\26.png,갰
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\27.png,갱
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\28.png,갸
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\29.png,갹
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\30.png,갼
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\31.png,걀
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\32.png,걋
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\33.png,걍
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\34.png,걔
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\35.png,걘
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\36.png,걜
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\37.png,거
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\38.png,걱
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\39.png,건
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\40.png,걷
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\41.png,걸
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\42.png,걺
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\43.png,검
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\44.png,겁
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\45.png,것
C:\Users\sslab\Desktop\Skeleton\tools\../image-data\hangul-images\46.png,겄
